SampleID	SubjectID	GDColl	type
SRS863450	C60	7	1
SRS863157	T32	7	1
SRS863156	E127	8	1
SRS863280	C43	10	1
SRS863164	T3	10	1
SRS863419	T42	10	1
SRS863371	T54	10	1
SRS863387	E158	11	1
SRS863282	T43	11	1
SRS863370	T56	11	1
SRS863286	E12	12	1
SRS863287	E23	13	1
SRS863375	E109	14	1
SRS863166	E65	14	1
SRS863284	E66/C16	14	1
SRS863407	C57	15	1
SRS863374	E108	15	1
SRS863161	E34	15	1
SRS863285	E68-1	15	1
SRS863384	E84	15	1
SRS863369	T62	15	1
SRS863425	T50	16	1
SRS863289	T63	16	1
SRS863281	C45	17	1
SRS863377	E103	17	1
SRS863279	C3	18	1
SRS863465	C37	18	1
SRS863382	E115/C53	18	1
SRS863430	E72	18	1
SRS863406	T140/C81	18	1
SRS863433	E116	19	1
SRS863277	E145	19	1
SRS863264	E146	19	1
SRS863163	E46	19	1
SRS863165	E47	19	1
SRS863423	E42	20	1
SRS863162	E43	20	1
SRS863252	E94	20	1
SRS863288	T68	20	1
SRS863276	E114	21	1
SRS863256	E128	21	1
SRS863259	E129	21	1
SRS863452	E59	21	1
SRS863155	E126	22	1
SRS863458	E24	22	1
SRS863409	T136	23	1
SRS863376	E102	24	1
SRS863416	E26	24	1
SRS863233	E52	24	1
SRS863275	E121	25	1
SRS863263	E148	25	1
SRS863160	E1A	25	1
SRS863460	E83	25	1
SRS863463	E89/C10	25	1
SRS863159	T98	25	1
SRS863466	T31/C38	26	1
SRS863461	T26	27	1
SRS863457	E19	28	1
SRS863273	E119	29	1
SRS863271	E18	30	3
SRS863171	T99	30	1
SRS863290	T66	31	1
SRS863418	E13	32	1
SRS863265	C1	33	1
SRS863464	C34	33	1
SRS863398	C72	33	1
SRS863270	E17	33	1
SRS863462	T27	33	1
SRS863267	T5	33	1
SRS863261	E130	34	1
SRS863268	T94	34	1
SRS863274	E113	35	1
SRS863272	E55	35	3
SRS863154	E67	35	1
SRS863269	E4	36	1
SRS863153	C19	43	1
SRS863169	T4	45	1
SRS863421	T95-C58	46	1
SRS863372	C42	47	1
SRS863262	E142	49	1
SRS863427	E96	49	1
SRS863168	T73	49	1
SRS863378	E1B	52	1
SRS863278	C32	53	1
SRS863266	E111/C48	54	1
SRS863459	T19	55	1
SRS863283	T58/C46	56	1
SRS863158	C20A	57	1
SRS863440	E117	57	1
SRS863373	C33	58	1
SRS863451	E21	60	1
SRS863167	C61	69	1
SRX214713	PT10091	5	3
SRX200915	PT10111	5	1
SRX198903	PT10141	5	1
SRX214898	PT10141	5	1
SRX214972	PT10141	5	1
SRX218157	PT10141	5	1
SRX218349	PT10161	5	1
SRX214728	PT10271	5	1
SRX200968	PT10271	5	2
SRX218808	PT10371	5	1
SRX214829	PT10801	5	1
SRX214839	PT10811	5	1
SRX218832	PT11061	5	1
SRX200108	PT11091	5	1
